Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,proba_retraso,riesgo_entrega_tardia,estado_predicho
4,2,177,3,0,44,1233,1,False,False,True,False,False,False,0.9991962058220003,1,En riesgo
4,5,216,2,0,59,3088,1,False,False,False,True,False,False,0.997012160472781,1,En riesgo
2,2,183,4,0,48,3374,1,False,False,False,False,False,False,1.0,1,En riesgo
3,3,176,4,1,10,1177,1,True,False,False,False,False,False,0.6564462205464814,1,En riesgo
2,2,184,3,1,46,2484,1,False,True,False,False,False,False,1.0,1,En riesgo
3,1,162,3,1,12,1417,1,False,False,False,True,False,False,0.9997732733262429,1,En riesgo
3,4,250,3,0,3,2371,1,False,False,True,False,False,False,0.9175304452925094,1,En riesgo
4,1,233,2,0,48,2804,1,False,False,False,True,False,False,0.9998468707225442,1,En riesgo
3,4,150,3,0,11,1861,1,False,False,False,False,False,False,0.9999108945583756,1,En riesgo
3,2,164,3,1,29,1187,1,True,False,False,False,False,False,0.9988982525241127,1,En riesgo
3,4,189,2,1,12,2888,1,False,True,False,False,False,False,0.9999597557484681,1,En riesgo
4,5,232,3,1,32,3253,1,False,False,False,True,False,False,0.9997826027034775,1,En riesgo
3,5,198,3,1,1,3667,1,False,False,True,False,False,False,0.9233381697822949,1,En riesgo
4,4,275,3,2,29,2602,1,False,False,False,True,False,False,1.0,1,En riesgo
4,3,152,3,0,43,1009,1,False,False,False,False,False,False,0.9767153283805154,1,En riesgo
4,3,227,3,0,45,2707,1,True,False,False,False,False,False,1.0,1,En riesgo
3,4,143,2,1,6,1194,1,False,True,False,False,False,False,0.9076781582510297,1,En riesgo
5,5,227,3,1,36,3952,1,False,False,False,True,False,True,0.9997826027034775,1,En riesgo
5,5,239,3,2,18,2495,1,False,False,True,False,False,True,1.0,1,En riesgo
4,5,145,3,1,45,1059,1,False,False,False,True,False,True,0.9969230550311566,1,En riesgo
3,3,161,2,1,38,1521,1,False,False,False,False,False,True,0.9999462930834236,1,En riesgo
3,1,232,4,1,51,2899,1,True,False,False,False,False,True,0.9998548537587669,1,En riesgo
2,5,156,2,0,2,1750,1,False,True,False,False,False,True,0.9104800261542053,1,En riesgo
4,3,211,3,2,12,3922,1,False,False,False,True,False,True,0.9968868784710299,1,En riesgo
4,5,251,2,1,28,3561,1,False,False,True,False,False,True,1.0,1,En riesgo
3,1,225,4,0,29,3496,1,False,False,False,True,False,True,0.9998548537587669,1,En riesgo
4,1,172,3,2,24,1066,1,False,False,False,False,False,True,0.999434564154688,1,En riesgo
5,1,162,3,1,31,1435,1,True,False,False,False,False,True,0.9993360215258897,1,En riesgo
2,3,234,4,0,44,3134,1,False,True,False,False,False,True,1.0,1,En riesgo
5,4,183,2,0,36,3819,1,False,False,False,True,False,True,1.0,1,En riesgo
3,4,266,2,1,38,2741,1,False,False,True,False,False,True,1.0,1,En riesgo
5,3,257,2,0,61,3341,1,False,False,False,True,False,True,1.0,1,En riesgo
3,1,223,3,0,22,3795,1,False,False,False,False,False,True,1.0,1,En riesgo
4,2,234,3,1,4,3261,1,True,False,False,False,False,True,0.9385149495929759,1,En riesgo
4,2,227,4,1,22,2460,1,False,True,False,False,False,True,0.9988629280117098,1,En riesgo
5,4,149,3,1,44,1811,1,False,False,False,True,False,True,0.999675474686352,1,En riesgo
3,5,137,4,2,62,1477,1,False,False,True,False,False,True,0.9947590356418899,1,En riesgo
2,4,181,6,1,16,3605,1,False,False,False,True,False,True,1.0,1,En riesgo
5,1,215,4,0,56,3905,1,False,False,False,False,False,True,0.9998468707225442,1,En riesgo
4,2,269,5,0,45,2383,1,True,False,False,False,False,True,1.0,1,En riesgo
5,1,227,2,0,15,3798,1,False,True,False,False,False,True,0.9998468707225442,1,En riesgo
5,5,139,4,1,61,1265,1,False,False,False,True,False,True,0.9963468011515468,1,En riesgo
3,5,137,2,1,38,1647,1,False,False,True,False,False,True,0.9999462930834236,1,En riesgo
3,1,174,2,0,44,1556,1,False,False,False,True,False,True,0.9994359614187251,1,En riesgo
3,1,151,2,0,29,1328,1,False,False,False,False,False,True,0.9999865373349556,1,En riesgo
5,1,210,3,0,9,2944,1,True,False,False,False,False,True,0.9050912075394973,1,En riesgo
3,4,169,4,1,32,1245,1,False,True,False,False,False,True,0.9946904284219253,1,En riesgo
5,1,160,2,0,32,1576,1,False,False,False,True,False,True,0.9990347430540651,1,En riesgo
5,4,190,2,1,9,3753,1,False,False,True,False,False,True,0.8796476918721037,1,En riesgo
5,3,216,3,0,40,2146,1,False,False,False,True,False,True,1.0,1,En riesgo
4,1,183,3,0,37,2042,1,False,False,False,False,False,True,1.0,1,En riesgo
4,4,141,3,0,22,1735,1,True,False,False,False,False,True,0.9998159899090464,1,En riesgo
4,3,165,3,0,44,1320,1,False,True,False,False,False,True,0.9972818367864246,1,En riesgo
2,1,170,3,0,41,1128,1,False,False,False,True,False,True,0.9969986978077366,1,En riesgo
4,3,203,3,2,12,3539,1,False,False,True,False,False,True,1.0,1,En riesgo
2,5,246,5,0,46,2437,1,False,False,False,True,False,True,1.0,1,En riesgo
3,3,238,3,0,61,3096,1,False,False,False,False,False,True,1.0,1,En riesgo
3,3,193,3,1,29,3453,1,True,False,False,False,False,True,1.0,1,En riesgo
5,5,141,3,2,41,1367,1,False,True,False,False,False,True,0.9998272775352394,1,En riesgo
4,1,150,3,2,17,1923,1,False,False,False,True,False,True,0.9997603846241483,1,En riesgo
3,1,221,3,0,64,2794,1,False,False,True,False,False,True,1.0,1,En riesgo
3,3,179,3,1,52,1158,1,False,False,False,True,False,True,0.9984802695670737,1,En riesgo
5,1,105,6,1,62,1292,1,False,False,False,False,False,True,0.9985106081636121,1,En riesgo
3,1,177,3,1,61,1880,1,True,False,False,False,False,True,0.9997839845045976,1,En riesgo
4,5,261,2,2,49,3045,1,False,True,False,False,False,True,1.0,1,En riesgo
3,2,202,3,0,49,2881,1,False,False,False,True,False,True,1.0,1,En riesgo
3,2,109,3,1,15,1710,1,False,False,True,False,False,True,0.9995336579503912,1,En riesgo
3,3,158,3,0,6,1878,1,False,False,False,True,False,True,0.9240759528371035,1,En riesgo
4,2,231,4,1,6,2512,1,False,False,False,False,False,True,0.7132282249969317,1,En riesgo
3,5,206,3,1,39,2929,1,True,False,False,False,False,True,0.9997826027034775,1,En riesgo
5,1,187,4,2,14,3849,1,False,True,False,False,False,True,0.9962595148324678,1,En riesgo
5,5,230,2,0,2,2229,1,False,False,False,True,False,True,0.9143189145058292,1,En riesgo
5,5,232,3,1,33,2998,1,False,False,True,False,False,True,0.9997826027034775,1,En riesgo
4,5,215,3,1,21,3984,1,False,False,False,True,False,True,0.9976521326872699,1,En riesgo
6,1,238,6,0,13,2442,1,False,False,False,False,False,True,0.9959166450944862,1,En riesgo
4,1,266,3,0,23,3775,1,True,False,False,False,False,True,0.9998468707225442,1,En riesgo
2,3,158,2,1,36,1788,1,False,True,False,False,False,True,0.9988573796497636,1,En riesgo
3,3,113,3,0,43,1518,1,False,False,False,True,False,True,0.9997930728403845,1,En riesgo
3,4,223,3,0,18,3959,1,False,False,True,False,False,True,0.9997826027034775,1,En riesgo
3,5,257,2,1,56,3711,1,False,False,False,True,False,True,0.9988551147498148,1,En riesgo
3,4,180,2,1,49,1942,1,False,False,False,False,False,True,0.9999597557484681,1,En riesgo
2,5,132,3,0,18,1759,1,True,False,False,False,False,True,0.9999498706171498,1,En riesgo
4,4,217,3,2,26,2875,1,False,True,False,False,False,True,1.0,1,En riesgo
5,5,162,3,2,31,1364,1,False,False,False,True,False,True,0.9998272775352394,1,En riesgo
4,5,197,2,1,40,2710,1,False,False,True,False,False,True,0.9994471901911578,1,En riesgo
3,4,197,3,1,13,2148,1,False,False,False,True,False,True,1.0,1,En riesgo
4,1,185,2,0,44,2910,1,False,False,False,False,False,True,1.0,1,En riesgo
6,2,278,3,1,3,2974,1,True,False,False,False,False,True,0.8441312431543796,1,En riesgo
3,3,229,3,0,49,2339,1,False,True,False,False,False,True,1.0,1,En riesgo
4,1,186,4,1,57,3880,1,False,False,False,True,False,True,0.9998548537587669,1,En riesgo
5,3,174,6,2,41,1085,1,False,False,True,False,False,True,0.9923356413406822,1,En riesgo
5,5,286,3,0,18,3163,1,False,False,False,True,False,True,0.9895311901377167,1,En riesgo
4,4,175,2,1,7,1188,1,False,False,False,False,False,True,0.7956296436310734,1,En riesgo
3,3,219,3,1,17,3387,1,True,False,False,False,False,True,1.0,1,En riesgo
4,1,213,4,2,35,2343,1,False,True,False,False,False,True,0.9998548537587669,1,En riesgo
2,3,235,3,0,57,2034,1,False,False,False,True,False,True,0.9923943447921618,1,En riesgo
3,3,149,2,1,18,1225,1,False,False,True,False,False,True,0.9991115165328255,1,En riesgo
4,1,271,2,1,8,2401,1,False,False,False,True,False,True,0.9149287817684854,1,En riesgo
